playerId,goalieFullName,gamesStarted,goalsAgainst,savePct,goalsAgainstAverage,shutouts,wins,qualityStart,qualityStartsPct,gamesRelievedWins,Vezina Trophies,Stanley Cups,Conn Smythe Trophies,William M. Jennings Trophies,All Stars,Score,Log_Score
8451033,Patrick Roy,1003,2546,0.91018,2.53692,66,551,593,0.591226,2,3,4,3,5,11,11.158772369492077,2.498050914985331
8455710,Martin Brodeur,1251,2781,0.91229,2.24158,125,691,741,0.592326,4,4,3,0,5,9,10.60689885307627,2.451599650044757
8450066,Jacques Plante,760,1823,0.91973,2.41808,72,395,503,0.661842,2,7,6,0,0,8,8.604287835452883,2.2622096482819245
8447687,Dominik Hasek,714,1572,0.92225,2.20186,81,389,469,0.656862,4,6,2,0,3,6,8.084400229337367,2.206558681984487
8446490,Ken Dryden,389,870,0.9215,2.23756,46,258,256,0.658097,2,5,6,1,0,5,7.9280455800899725,2.189197510922739
8449988,Glenn Hall,891,2211,0.91756,2.50457,83,401,584,0.655443,1,3,2,1,0,13,7.632144973742847,2.1554930227340368
8445386,Ed Belfour,937,2317,0.90638,2.49605,76,484,524,0.559231,6,2,1,0,4,5,7.181564022006992,2.1018833330724758
8470594,Marc-Andre Fleury,995,2565,0.912,2.5962,75,561,583,0.585929,5,1,3,0,1,4,7.131355888697708,2.0957276856317297
8471734,Jonathan Quick,766,1869,0.91105,2.47357,60,393,442,0.577023,3,0,3,1,2,2,6.7930199406151335,2.053228453643616
8450178,Bernie Parent,590,1493,0.91498,2.55468,54,271,374,0.633898,2,2,2,2,0,5,6.76276831189503,2.0493390118016928
8458568,Chris Osgood,713,1768,0.90509,2.49235,50,401,395,0.553997,7,0,3,0,2,2,6.241330410304705,1.9798049478455104
8446991,Grant Fuhr,829,2756,0.88691,3.37968,25,403,351,0.423401,7,1,5,0,1,6,5.973740626563703,1.9421517560739845
8452217,Mike Vernon,742,2210,0.88948,2.97964,27,385,322,0.433962,9,0,2,1,1,5,5.95033211822971,1.93878944523059
8451525,Billy Smith,642,2031,0.89454,3.17603,22,305,303,0.471962,6,1,4,1,1,1,5.822769253200955,1.920265438296288
8450111,Terry Sawchuk,610,1718,0.90661,2.82318,46,246,351,0.575409,1,4,4,0,0,11,5.807800258536978,1.918069051612846
8460703,Tim Thomas,408,1027,0.9199,2.52064,31,214,274,0.671568,4,2,1,1,1,4,5.80256113773685,1.9172991791742886
8450152,Gump Worsley,733,2052,0.914,2.84621,37,305,471,0.642564,1,2,4,0,0,4,5.683185535481651,1.8995947504481687
8449681,Andy Moog,664,2097,0.89147,3.13525,28,372,315,0.474397,11,0,3,0,1,4,5.661853460750801,1.896397743244787
8446720,Tony Esposito,874,2563,0.90619,2.93048,76,423,496,0.567505,1,3,1,0,0,6,5.6311480832760745,1.891777954104813
8449835,Johnny Bower,462,1145,0.92188,2.49924,32,219,320,0.69264,1,2,4,0,0,4,5.514694947972151,1.8740603864525105
8466141,Roberto Luongo,1014,2515,0.91867,2.52008,77,489,653,0.643984,0,0,0,0,1,5,5.511791670042902,1.8736146364874653
8468685,Henrik Lundqvist,871,2101,0.91796,2.43279,64,459,560,0.642939,3,1,0,0,0,5,5.497032843875478,1.8713455871227223
8449995,Charlie Hodge,329,894,0.90631,2.72555,23,147,191,0.580547,2,2,6,0,0,3,5.380887118960752,1.8533071345496321
8476883,Andrei Vasilevskiy,467,1199,0.91668,2.56484,34,293,285,0.610278,1,1,2,1,0,0,5.232569150802245,1.8297886315489296
8452122,Rogie Vachon,773,2310,0.8959,2.99955,51,353,382,0.494178,3,1,3,0,0,3,5.178036074388782,1.821000433648779
8470320,Cam Ward,683,1843,0.90831,2.74264,27,334,389,0.569546,4,0,1,1,0,1,5.159309547620011,1.8179646848379527
8475683,Sergei Bobrovsky,686,1738,0.91488,2.58597,44,396,426,0.620991,2,2,1,0,0,2,5.138759144458752,1.8146226279990005
8470880,Brian Elliott,496,1290,0.90948,2.56798,45,279,289,0.582661,11,0,0,0,1,2,5.084735085787036,1.8057831898774968
8471695,Tuukka Rask,544,1230,0.92102,2.27743,52,308,359,0.659926,1,1,1,0,1,1,5.078220061209682,1.8047119000270115
8474651,Braden Holtby,501,1271,0.91458,2.59322,35,299,313,0.62475,4,1,1,0,1,5,5.022551966759951,1.7955110842384374
